element_id,part_num,color_id
4566309,2564,0
4257250,50899pat0001,-1
4225201,48336,0
4116792,32083,0
4610371,92907,0
4647732,96714,0
4552507,973c03h03pr1510,0
6052829,62885,0
4616992,92339,0
6003304,93589,0
6081410,973c03h18pr2778,0
4582137,87797,0
4647731,85651,0
6143035,78c14,0
4169200,42445,0
4610381,92912,0
6081432,970c03pr0724,0
4589901,973c03h03pr1510,0
6151197,98603s02pr0022,0
4668002,96207,0
4614391,87998,0
4647730,64991,0
6056862,973c30h03pr2533,0
4536522,60593,0
6055044,973c03h03pr2481,0
4545113,59521,0
4649165,98108,0
6151190,98603s02pr0021,0
452226,4522,0
6154810,24164pat0001,0
4648117,98282,0
6076566,15064,0
4529159,62699pr0001,0
6144001,23800,0
6039767,970c03pr0519,0
6135402,24123,0
4252541,47517c02pr0003,0
4609588,93217,0
4552541,973c03h03pr1513,0
6038654,93069,0
4582142,87798,0
6134897,24308,0
6005373,4162pr0016,0
6139227,23799,0
4159140,2339,0
4525189,44815,0
6056859,973c47h03pr2532,0
4506690,59814,0
4285877,47452,0
6135323,24010,0
4629999,3626bpr0815,0
6135346,24890,0
6160443,19857pat0008,0
6146742,51342pat0014,-1
6145859,23801,0
4292098,50920,0
6143830,973c03h01pr2189,0
4295007,50922,0
4598528,92280,0
4506799,42450,0
4580715,89187,0
6150082,24119,0
4594770,92340,0
4154853,4449,0
4156798,33009,0
6024730,92947,0
4275491,973c03h01pr1184,0
4107585,30115,0
6000772,54091,0
4109810,32062,0
6024850,970e07,0
4278747,47311,0
4212899,47715,0
6005270,42450,0
6151377,98138pr0055,0
4169614,42444,0
6062883,90640pr0023,0
6063494,90640pr0024,0
4508205,51874pat0002,0
4610708,90649,0
4285385,42289,0
4540698,84638c01pr1442,0
6151175,98603s02pr0020,0
6012983,76766,0
304126,3041,0
4551303,973c03h13pr1496,0
6155220,973c03h01pr3489,0
6021504,90194,0
6058150,50860,0
370826,3708,0
4529981,973c03h02pr1408,0
6122408,3626cpr1748,0
4181144,2456,0
4538781,64711,0
4264752,40249,0
655826,6558,0
6057706,3626cpr1283,0
4177444,43857,0
4107462,4266,0
4288446,50967,0
4226683,2639,0
4184285,44308,0
6013867,11203,0
6147790,24309,0
4595443,973c03h12pr1667,0
4539552,64343,0
6064175,6292,0
4143246,30554b,0
6139104,24193pr0005,0
4589701,31300c03,0
4289839,47332,0
6138217,98286,0
4618269,93554,0
4597232,973c03h02pr1682,0
4519244,60176,0
4169414,42448,0
71155,71155,0
6158054,24154pat0003,0
6174611,4162pr0050,0
4105221,30045,0
4536184,4617b,0
366626,3666,0
4207015,30029,0
6040299,4182,0
4610948,93571,0
4216062,47431,0
6139403,98138,0
4498712,57899,0
370126,3701,0
389426,3894,0
4144025,32531,0
434126,4341,0
4113923,30170,0
4642935,90195,0
4106729,30104,0
6136436,23850pr0001,0
6179847,56823c100,0
4290713,32474,0
4209683,47406,0
4142135,32316,0
281526,2815,0
6142215,16497pr0003,0
6170505,98282,0
6057767,973d20pr2575,0
6134665,970c03pr1006,0
6129595,973c03h02pr3184,0
427526,4275b,0
4272943,2345,0
4295432,75c15,0
4522213,973c03h02pr1367,0
4522208,973e100pr1365,0
4530127,973c03h03pr1411,0
4530723,973c03h02pr1416,0
6021487,98177pr0002,0
6387870,50745,1
6159567,12897,0
6160241,18827pr0003,0
6009018,64225,0
6161037,25971pr0002,0
6159566,970c03pr1110,0
4597998,3069bpr0114,0
4516414,60909,0
4667555,973c03h01pr1831,0
6158472,973g03c14h27pr3519,0
4218517,47298,0
4144513,30183,0
4180469,43713,0
6160351,973c03h01pr3543,0
4161281,41765,0
4289293,54862,0
4195539,6238,0
4552464,973c03h27pr1508,0
6158280,24319pr3517,0
6160221,973f012pr3535,0
4294669,54034,0
4282916,54068,0
6159604,92290,0
6160242,90388pr0003,0
4289284,54042,0
6021001,970c03pr0426,0
6164648,41879apr0008,0
4289251,4657,0
6160393,970c03pr1117,0
4612590,42074,0
4289369,55007,0
6160317,26076pr0001,0
6159564,973c03h03pr3529,0
4217795,4131,0
6133722,14719,0
657926,6579,0
4552531,973c34h03pr1512,0
6141737,92262pr0001,0
6141739,92263pr0001,0
6141950,18969,0
4119324,32173,0
4507542,57894,0
6134568,3626cpr1840,0
6017976,3626cpr1083,0
4514342,30033,0
4609788,973c03h03pr1513,0
4617848,92409,0
6124610,87574,0
4527983,42061,0
4218524,47302,0
6147050,24201,0
6159506,27066,0
6159730,33009pr0001,0
6139318,62812,0
6291068,42610,0
4119328,32174,0
4107783,32034,0
4107767,32014,0
4287672,30088,0
4184286,44309,0
6156991,99563,0
373726,3737,0
6160862,13783,0
615726,6157,0
4217004,47976,0
4593579,90634,0
4180576,43903,0
6041568,973c03h01pr2409,0
6022562,973c03h09pr2241,0
4570176,973c03h12pr1574,0
4658977,72454,0
4539385,64450,0
6077729,973c03h14pr2694,0
4630778,973c03h12pr1574,0
4277967,6133,0
6103643,62885,0
4144526,2543,0
4217900,47576,0
6073741,98603s01pr0011,0
4549885,85983pr0001,0
6145439,973e067pr3351,0
6142318,22391,0
6145313,3626cpr1906,0
6145661,47407,0
6145423,973c03h03pr3350,0
4566781,87839,0
4565616,87791,0
6142631,970c03pr1019,0
6142179,973c03h03pr3290,0
4581740,64275,0
6024272,75c19,0
6054821,61070,0
4566298,973c03h03pr1543,0
6029228,973c03h03pr2293,0
4558209,60581,0
4524697,973c03h01pr1377,0
4535370,30518,0
6021269,11691pr0002,0
6145876,3626cpr1907,0
6145889,973c03h12pr3354,0
6143087,44375bpr0001,0
384426,3844,0
6145307,25264pr0001,0
6020160,970c03pr0422,0
4278015,6046,0
4283701,41897,0
6125721,970c03pr0948,0
4210585,30258,0
6023599,84638c01pr1442,0
6073879,62711pr0001,0
4293456,2587pr0015,0
4584769,57575,0
4587171,57564,0
6181554,87079pr0111,0
6181538,98138pr0072,0
6181550,2431pr0088,0
4651309,2446pr0008,0
6191951,2723pr0002,0
4509865,4285b,0
6179182,25214,0
6125717,970c03pr0947,0
4653274,6180pr0003,0
6125682,3626cpr0024,0
6055426,15618pr0002,0
6125703,973c03h03pr2258,0
4520576,973c24h02pr1355,0
4597469,973c03h02pr1685,0
6143430,60608,0
6039763,973c03h22pr2396,0
6146542,973c03h03pr3359,0
6146594,10907,0
6146510,973c03h02pr3356,0
4506602,47507,0
6131571,22889,0
6146579,970c03pr1046,0
6056757,15498,0
6039890,2587pr0031,0
4112108,31171,0
6174627,4162pr0001,0
6162892,26603,0
394026,3940b,0
245626,2456,0
4193470,32551,0
6141554,24299,0
6141556,24307,0
4512363,59443,0
4612293,92547pr0005,0
6133200,22888,0
6179181,6192,0
4662228,57520,0
4508215,30028,0
486526,4865a,0
4194644,44790,0
4535892,47517pr0004,0
4249861,6260,0
444426,4444,0
4651057,973c03h01pr1939,0
4543333,64271pr0001,0
4540656,2545pr0001,0
6143933,973c03h03pr3339,0
6320054,3830,1
6056683,973c03h03pr0811,0
6146705,10908pr0012,0
4215341,75723pr0001,0
6028765,6179pr0009,0
4622565,32030,0
4644754,41767,0
4657869,74664,0
4613397,92338,0
4162076,41668,0
343726,3437,0
4652060,98567,0
4593567,90622,0
4584202,973c03h01pr1607,0
4508144,60115,0
4504968,57541,0
4286009,4510,0
4583011,973c03h01pr1589,0
4180518,43721,0
6030988,4162pr0023,0
4100530,4175,0
6037746,11153,0
6023876,3664pr9998,0
4260945,2340,0
6056354,15355,0
4586991,973c27h27pr1646,0
6147017,3068bpr0289,0
6147001,87079pr0090,0
4587898,973c03h03pr1658,0
6033802,973c03h02pr2340,0
4291746,54177,0
4294850,32296,0
4186569,42026,0
6016812,99242,0
4191191,45677,0
4299386,2621,0
4587056,973c03h27pr1649,0
4160349,41768,0
4168685,6405,0
4293087,55706,0
6132595,973c03h12pr3205,0
4596749,973c03h02pr1679,0
6132659,973c03h12pr3206,0
4560174,87082,0
4636280,4489a,0
4162163,40395,0
4546421,61930,0
6034898,47517pr0004,0
4537504,64263pat0001,0
4538972,45117c01,1
6023388,973f021pr2043,0
4595983,47517pr0004,0
4219121,48291,0
234626,2346,0
4619323,92402,0
6296982,6180pr0007,0
6019884,60364apr0001,0
4599499,92593,0
4513216,57915,0
4523639,78c10,0
4609050,92738,0
4506636,41751,0
4278796,2614,0
6092878,88704,0
6009518,11002,0
4516718,30104,0
4526756,62711,0
4597417,92865,0
4587844,88930,0
6150542,85983,0
6062522,15038pr0001,0
4544499,41766,0
6055878,14226c41,0
4587899,90460,0
4587904,87995,0
6057902,92107,0
4596660,973c03h12pr1670,0
4541678,2544,0
6092452,2654pr0001,0
6146518,90398pr0011,0
3004626,30046,0
6132951,23924,0
4626184,3626bpr0808,0
4614801,44771,0
6132615,970c03pr0983,0
6132664,970c03pr0984,0
6005299,10555,0
6020564,970c03pr0424,0
4613604,973c03h03pr1727,0
4192716,41670,0
4610036,973c03h12pr1713,0
6045871,973c03h12pr1713,0
6004944,10258,0
4618118,973c01h01pr1759,0
6020819,87556pr0001,0
6038404,85863pr0128,0
4618117,973c01h01pr1758,0
6043809,973c01h01pr1759,0
4198998,2922,0
6040580,973c12h03pr2425,0
4655228,973c03h03pr1954,0
4654944,92081,0
6008011,970c03pr0379,0
6001896,973c27h01pr2033,0
6001890,973c03h01pr2031,0
4527072,54754pr0001,0
6056854,3626cpr1321,0
6018646,973c03h01pr2194,0
4619407,93217pr0001,0
4512825,30408pr0017,0
6022509,3626cpr1133,0
6029862,973c26h02pr2301,0
6015884,11089,0
6022507,3626cpr1131,0
4508453,40379,0
6037558,14226c11,0
6041725,970c03pr0536,0
4492779,40378,0
6020325,973f014pr2163,0
6031251,970c03pr0489,0
6110046,973f008pr2993,0
4160263,40339,0
4198536,40251,0
6038417,85863pr0116,0
6057363,973c03h03pr0512,0
6023799,970c03pr0439,0
6006052,970c03pr0360,0
6006005,973c03h03pr1904,0
6008796,973c03h14pr2129,0
6005642,973c12h03pr2088,0
6008025,973c03h01pr2115,0
6008015,973c37h18pr2110,0
4153406,40241,0
4508642,40238,0
6016123,973c32h03pr2169,0
300126,3001,0
4153412,40242,0
4155558,40244,0
3004326,30043,0
4172091,41680,0
300826,3008,0
4653049,87609,0
4142816,30488c01,0
6037158,11101pat0001,0
4178322,2587,0
6021512,3069bpr0070,0
4625456,6636pr0009,0
4106513,30103,0
4516020,3184,0
6040054,11164pat0001,0
4652384,30132,0
4617860,3006,0
4157659,40233,0
6080528,973c03h03pr2768,0
6022560,973c03h09pr2239,0
6108553,18895,0
4228161,30094,0
6099809,973c22h03pr2859,0
4541953,75c29,0
4567999,88516,0
4587893,90463,0
6006043,973c03h03pr2094,0
6011634,4162pr0017,0
6032017,85863pr0102,0
6016706,973c01h01pr2183,0
6020330,973c03h27pr2158,0
6018304,11100,0
4193779,32173,0
383126,3831,0
382026,3820,0
6029944,973c03h27pr2308,0
6035314,973c03h03pr2352,0
6023710,85863pr0052,0
4270676,50602,0
381826,3818,0
4296790,50955,0
4205760,3743,0
6057371,973c03h01pr0652,0
6102011,98133pr0016,0
4506838,6131pr0001,0
6005837,3736,0
373026,3730,0
6023418,30367cpr0003,0
6015953,3626cpr1069,0
4141720,32074c02,0
6039194,11215,0
6000644,3688,0
367526,3675,0
4293457,2587pr0012,0
4528332,14226c31,0
4505756,59228,0
6098888,970c03pr0762,0
6099707,973c01h03pr2847,0
4585582,85863pr0033,0
6102696,973c03h12pr2907,0
4548403,973c03h02pr1463,0
4113267,30135,0
4215149,3039pr0008,0
4529967,973c03h02pr1406,0
6045499,973c03h03pr1658,0
6036556,4162pr0020,0
6100851,19196pr0001,0
6083346,3039pr0018,0
6027996,2397,0
4218890,3046a,0
6101912,973c03h03pr2891,0
6038144,13789pr0001,0
6035141,13361pr0003,0
408126,4081b,0
4501048,3483,0
4558692,87408,0
368026,3680,0
4542891,3678bpr0041,0
6029578,32525,0
4247343,30162,0
4114128,30152pat0001,0
4223362,30152pat0003,0
6055879,10190,0
4501046,3641,0
4116854,30099,0
4200023,30165,0
4566955,87837,0
6014652,30381,0
6016279,30381,0
4613936,30173a,0
4299389,56145,0
4242385,50859b,0
4221659,3404,0
4144567,30396,0
4140809,30400,0
6105926,973c30h03pr2946,0
6043835,973c03h12pr1186,0
4143875,30602,0
4522298,973e035pr1369,0
4612563,75c08,0
4218982,3308,0
4521072,973c19h03pr1358,0
4558850,73590c03a,0
4519925,2339,0
6025264,973c03h03pr2286,0
4195197,3300,0
4167774,30608,0
329826,3298,0
6016718,92456c01pr0048,0
6057397,16091,0
4614226,75c09,0
4529549,32555,0
6034969,10066pr0001,0
4189286,78c06,0
6078232,17961,0
4569401,32552,0
4620564,973c03h03pr1727,0
4547251,61506,0
6048746,6153b,0
4143514,32475,0
6020533,93565pr0003,0
4630140,973c27h01pr1806,0
4630159,970c03pr0238,0
4295417,14226c11,0
4614488,93056pr0004,0
6005430,47759pr0002,0
4500874,47759pr0003,0
4142236,32449,0
6037506,3844,0
4501726,32534,0
4584483,30613,0
4503011,47899c03,0
6028731,6179pr0008,0
6096109,92258,0
6015698,11259pr0001,0
4632571,4081b,0
6029223,87556pr0003,0
4541482,50948,0
4140328,32249,0
6073593,4162pr0033,0
4655659,3626cpr0922,0
6102659,84638c04pr2821,0
4612296,92547pr0008,0
4567438,45705,0
6083540,85974pr0004,0
4119020,32180,0
6032151,6179pr0004,0
6022290,12550pr0003,0
4121610,32192,0
6056873,3069bpr0008,0
74741,2909c03,0
4624209,93057pr0001,0
4566845,47757,0
6044188,3070bpr0076,0
4177434,32498,0
306926,3069b,0
4645732,40490,0
304826,3048c,0
6037390,3007,0
6022424,50944pr0001,0
4177431,32270,0
6032245,973c03h03pr1148,0
6022761,11947,0
6014648,88323,0
6070518,53992,0
6022380,6179pr0001,0
6062912,973c03h14pr2542,0
4288814,32146,0
4114689,32124,0
6083701,970c03pr0740,0
6088638,46667,0
4144536,32084,0
4273590,49668,0
4275674,48092,0
6022464,6179pr0022,0
6022423,6179pr0021,0
6020823,6179pr0020,0
4157670,32535,0
6121894,15427pr0001,0
6044210,3070bpr0092,0
4129572,32059,0
6044213,3070bpr0093,0
6044215,3070bpr0094,0
6044228,3070bpr0099,0
4245120,50946,0
4112287,32056,0
6044232,3070bpr0100,0
6055319,973c03h03pr2490,0
6057869,970c03pr0603,0
6062931,93219pr0007,0
4581556,75c24,0
6083698,970c03pr0739,0
6057687,973c03h12pr2544,0
6045860,973c03h26pr2462,0
6017000,11605,0
4296268,75c12,0
4261036,76041c02,0
4503423,32017,0
6080356,15458,0
6122656,21445,0
6022447,11602pr0001,0
6102198,31300c03,0
4595981,47517c01pr0001,0
4552413,4868b,0
4234438,32199,0
4289864,57999,0
4107558,32018,0
6125770,91968c01,0
6088585,11253,0
4652069,87990,0
6029324,11334,0
6057683,973c03h14pr2539,0
4612482,93575,0
4277774,50947,0
4271120,75c26,0
4299844,75c32,0
4614717,88760c02pr0001,0
4107081,32039,0
4114670,32068,0
4539364,64776pat0001,0
6044160,3070bpr0073,0
4107085,32013,0
4119333,32175,0
4114671,32069,0
4114634,32063,0
4547373,32019,0
6044169,3070bpr0079,0
6044150,3070bpr0063,0
6044163,3070bpr0064,0
6044184,3070bpr0080,0
6044198,3070bpr0082,0
6044206,3070bpr0085,0
6044193,3070bpr0087,0
6040652,11265pr0002,0
4655565,973c03h03pr1961,0
6056326,973c03h03pr2503,0
6124650,3069bpr0153,0
6021752,44675,0
6058096,970c03pr0611,0
317626,3176,0
4551360,30169,0
4248204,32072,0
6056825,55981,0
6055626,15413,0
6093977,18575,0
4296204,44352,0
4652375,92233,0
271126,2711,0
4142814,30488,0
4621116,57999,0
4536520,60806,0
4113299,78c02,0
4653824,98100pr0002,0
6105963,18980,0
6000155,98592,0
4143751,30541,0
6115182,90498pr0001,0
4506910,78c04,0
4159550,30505,0
4141120,30493,0
4278717,51695,0
6039134,90641,0
611876,6118,0
6073113,970c03pr0653,0
4623609,63208pr1786,0
4112864,78c11,0
6115190,90498pr0002,0
4596243,92258,0
6015899,11091,0
4226509,30388,0
4111951,2994,0
4167106,30386,0
4650864,92257,0
4249892,42234,0
4142992,30383,0
6030921,973c27h01pr1192,0
6023586,973c03h03pr1437,0
6020090,58057pr0002,0
4143417,32527,0
4624825,970e03,0
4522653,30171,0
6023470,973c03h03pr2077,0
4533104,973c03h03pr1420,0
4116825,30287,0
4548726,973c03h03pr1469,0
6104403,18976,0
6016943,98101pr0001,0
4113870,30180,0
4297302,53988pat0002,0
6302961,25269,1
6044221,3070bpr0095,0
6008340,30163,0
6107896,90398pr0005,0
4545233,30149,0
4295061,973c03h12,0
6081356,973c03h01pr2776,0
4143419,32528,0
6022943,3626cpr1150,0
6094053,73090b,0
6056685,970c03pr0583,0
6019787,95221pr0001,0
4121916,30140,0
6115149,90398pr0009,0
6062783,15424pr0001,0
6082446,3626cpr1510,0
6020192,42446,0
6071289,15372pr0001,0
4508203,51342pat0007,0
6008335,10904,0
4140430,32291,0
4236019,32307,0
4141301,32294,0
4153013,30647,0
6044156,3070bpr0072,0
6044166,3070bpr0074,0
4224500,44036,0
6116487,10169,0
4656122,2614,0
4527063,62698,0
6087083,62698,0
4293532,4150pr0003,0
4143539,32474,0
6102596,18977,0
4632584,90661,0
6022682,970c03pr0433,0
6079757,973c03h01pr2756,0
6005935,33215,0
6063314,3626cpr1373,0
6044205,3070bpr0091,0
4186769,30027b,0
